№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
283;531231 М;;Фара противотуманная Renault Логан левая Dacia 2003-2008 ;;3386;шт;5000;2;;;;;;10000;600667;;
284;531230 М;;Фара противотуманная Renault Логан правая Dacia 2003-2008 ;;3386;шт;5000;2;;;;;;10000;600666;;
285;7701070525;;Фильтр воздушный 8кл Логан Francecar;;438;шт;800;2;;;;;;1600;600819;;
286;226755893R;;Фильтр топливный Дастер Bosch;;1214;шт;2000;2;;;;;;4000;600919;;
287;7700845961;;Фильтр топливный Логан Asam;;639;шт;1200;2;;;;;;2400;600614;;
288;26210102;;Фонарь задний Renault Дастер левый Bosch;;6178;шт;9000;1;;;;;;9000;600588;;
289;26210202;;Фонарь задний Renault Дастер правый  Bosch;;6178;шт;9000;1;;;;;;9000;600589;;
290;6001546794;;Фонарь задний Renaut  Логан левый Bosch c 2004-2009;;3089;шт;5000;1;;;;;;5000;600587;;
291;6001546794M;;Фонарь задний Renault Логан левый Mars с 2007-2008;;3638;шт;5500;1;;;;;;5500;600914;;
292;6001546795;;Фонарь задний Renault Логан правый Bosch c 2004-2009;;3089;шт;5000;1;;;;;;5000;600586;;
293;6001546795M;;Фонарь задний Renault Логан правый Mars c 2007-2008;;3638;шт;5500;1;;;;;;5500;600913;;
294;8200734825;;Фонарь задний Сандеро левый Francecar;;4947;шт;7500;1;;;;;;7500;600827;;
295;8200734824;;Фонарь задний Сандеро правый Francecar;;4947;шт;7500;1;;;;;;7500;600828;;
296;8200744760;;Фонарь задний Логан левый Depo;;6360;шт;9000;1;;;;;;9000;600898;;
297;8200744759;;Фонарь задний Логан правый Depo;;6360;шт;9000;1;;;;;;9000;600900;;
298;7700846446;;Форсунка омывателя передняя Ларгус Asam;;260;шт;500;4;;;;;;2000;600011;;
299;;;Ц;;;;;0;;;;;;0;;;
300;8200855816;;Цилиндр рабосего сцепления в сборе с подш Ларгус Asam;;9338;шт;14000;1;;;;;;14000;600988;;
