№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
45;2123-2905402;;Амортизатор Шеви передний Белмаг;;1640;шт;2500;5;;;;;;12500;600315;;
46;SH-P-07072G;;Амортизатор Ларгус задний Pilenga;;3814;шт;4600;0;;;;;;0;;;
47;543027245R-Р;;Амортизатор Ларгус передний Pilenga;;6293;шт;7600;0;;;;;;0;;;
48;543024989R;;Амортизатор Ларгус передний левый Renault Group;;9863;шт;11800;0;;;;;;0;;;
49;543027245R;;Амортизатор Ларгус передний правый Renault Group;;9478;шт;11800;0;;;;;;0;6369;;
50;2108-АП-50%;;"Амортизаторы+пружины кт 2114 ""-50%"" Демфи";9900;;кт;57700;1;;;;;;57700;4255;;
51;2170-АП-50%;;"Амортизаторы+пружины кт 2170 ""-50%"" Демфи";8100;;кт;60800;1;;;;;;60800;4365;;
52;;;Б;;;;;0;;;;;;0;у4980;;
53;2110-1703190-10;;Бабочка 010;140;;шт;1100;5;;;;;;5500;1972;;
54;2110-2904400;;Балка 2110 передняя;550;3468;шт;4300;0;;;;;;0;4592;;
55;2112-2904400;;Балка 2112 передняя;600;;шт;4300;1;;;;;;4300;у1687;;
56;21214-2904200;;Балка 21214;;32593;шт;39 000;0;;;;;;0;Т7751;;
57;2121-2904200-10;;Балка 213;3200;24172;шт;29 000;0;;;;;;0;434;;
58;2101-2904200-00; ;Балка 01 ВАЗ;760;3372;шт;5000;1;;;;;;5000;у4979;;
59;2110-2914008-00;;Балка 09 задняя ;2800;18000;шт;21500;0;;;;;;0;7489;;
60;2170-2914008-00;;Балка 2170 задняя ;3700;13771;шт;20000;0;;;;;;0;у1679;;
