№;Номер детали;Дубл.;Наименование;Цена закуп (руб, ю, тг);Цена закуп (тг);Ед. измерения;Цена;Остаток;Цена по которой продано;Продано;Купить;Заказ;Счет на оплату ;Итого:;артикул;минимальный остаток;максимальный остаток
199;ACL-12-01;;Прикуриватель 2106 Airline голый;;302;шт;400;4;;;;;;1600;120406;;
200;ACL-12-02;;Прикуриватель 2115 Airline голый ;;302;шт;400;4;;;;;;1600;ч1038;;
201;ASP-3L-06;;Прикуриватель Airline 1 удленитель с витым шнуром 3м;;579;шт;800;2;;;;;;1600;117481;;
202;ASP-2-05;;Прикуриватель Airline 2 в 1 с витым шнуром;;469;шт;650;2;;;;;;1300;Т0028;;
203;ASP-2U-11;;Прикуриватель Airline 2 гнезда+2USB 12v с витым шнуром штекер-фиксатор;;1263;шт;1700;2;;;;;;3400;122264;;
204;ASP-3U-03;;Прикуриватель Airline 3 в 1+USB 12v;;650;шт;900;1;;;;;;900;117480;;
205;77726;;Приспособление для запрессовки втулок зад тяг 2101 Сервис Ключ;;541;шт;800;2;;;;;;1600;758;;
206;77752;;Приспособление для притирки клапанов 7мм 16кл Сервис Ключ;;456;шт;700;2;;;;;;1400;68316;;
207;77753;;Приспособление для притирки клапанов 8мм 8кл Сервис Ключ;;439;шт;700;2;;;;;;1400;68317;;
208;77799;;Приспособление для регулировки клапанов 2108 Сервис Ключ;;712;шт;1000;2;;;;;;2000;1651;;
209;10186;;Приспособление центровки сцепления 2101;;137;шт;200;2;;;;;;400;10186;;
210;пр-6;;Провод проводки сечение 1.0мм;;49;м;80;50;;;;;;4000;8407;;
211;пр-4;;Провод проводки сечение 4мм;;135;м;180;50;;;;;;9000;8406;;
212;SA-150-03;;Провода АКБ прикуриватель 150А Airline;;816;шт;1200;2;;;;;;2400;117478;;
213;SA-200-02;;Провода АКБ прикуриватель 200А Airline;;1239;шт;1700;3;;;;;;5100;Т0646;;
214;;;Р;;;;;0;;;;;;0;;;
215;72504;;Развертка направляющих клап 7мм 16кл Сервис Ключ;;807;шт;1100;2;;;;;;2200;1212279;;
216;72505;;Развертка направляющих клап 8мм 2101-2108 Сервис Ключ;;816;кт;1100;2;;;;;;2200;3057;;
217;77798;;Рассухариватель 2101 Сервис Ключ;;557;шт;800;2;;;;;;1600;118946;;
218;77797;;Рассухариватель 2108 с планкой Сервис Ключ;;1001;шт;1300;1;;;;;;1300;118947;;
219;77796;;Рассухариватель 2112 16кл Сервис Ключ;;454;шт;800;2;;;;;;1600;118948;;
220;;;С;;;;;0;;;;;;0;;;
221;AB-V-02;;Салфетка Airline 20*20 набор 4шт ;;212;кт;300;6;;;;;;1800;118241;;
222;AB-V-03;;Салфетка Airline 30*30 набор 4шт ;;361;кт;500;5;;;;;;2500;122119;;
223;АВ-С-01;;Салфетка Airline замша микрофибра 45х46 в банке;;741;шт;1000;1;;;;;;1000;118232;;
224;АВ-В-01;;Салфетка Airline замша натуральная 30х28 2047;;528;шт;700;4;;;;;;2800;Т8320;;
225;АВ-С-02;;Салфетка Airline замша супер впитывающая 43х32 в банке;;267;шт;350;5;;;;;;1750;118223;;
226;АВ-А-02;;Салфетка Airline микрофибра оранжевая 35*40;;162;шт;200;5;;;;;;1000;118229;;
227;АВ-А-04;;Салфетка Airline микрофибра оранжевая 35*40 коралловая ткань;;199;шт;300;5;;;;;;1500;118231;;
228;AB-V-01;;Салфетка Airline микрофибра оранжевая синяя 30*30 набор 2шт;;193;кт;300;5;;;;;;1500;118240;;
229;АВ-А-05 ;;Салфетка Airline порофибра желтая 20*18;;137;шт;200;1;;;;;;200;122109;;
230;АКС14ММ;;Саморезы хромированные 14мм;;4;шт;8;100;;;;;;800;68300;;
231;саморезы;;Саморезы хромированные 16мм;;2;шт;5;100;;;;;;500;3070;;
232;саморезы_дл;;Саморезы хромированные 19мм;;3;шт;5;100;;;;;;500;3071;;
233;самор-25;;Саморезы хромированные 25мм;;4;шт;8;100;;;;;;800;7855;;
234;самор-32;;Саморезы хромированные 32мм;;4;шт;8;100;;;;;;800;7682;;
235;самор-41;;Саморезы хромированные 41мм;;4;шт;8;100;;;;;;800;7714;;
236;Саморез_57;;Саморезы хромированные 51мм;;5;шт;8;100;;;;;;800;3865;;
237;RW6094;;Смазка RW-40 100мл;;364;шт;500;5;;;;;;2500;у9266;;
